id,name,mlabel_id,slabel_id,latitude,longitude,eat_in
227,嵐迪義大利麵館,2,2,25.0156585,121.5326551,TRUE
228,金雞園,1,5,25.0157159,121.5326235,TRUE
229,藍家割包,1,2,25.0157411,121.5325808,TRUE
230,十二巷拉麵,5,5,25.0156951,121.5328123,TRUE
231,Cui Lian Kitchen 淬煉廚房,2,1,25.0156991,121.5327845,TRUE
232,好想見麵-公館店,1,2,25.0156037,121.5323493,TRUE
233,人性甜點,3,6,25.0156934,121.5322764,FALSE
234,靜壽司,5,8,25.0156535,121.532227,TRUE
235,吃煲喝好,1,8,25.0152052,121.532296,TRUE
236,何太守港式菠蘿包專賣店,3,4,25.0152126,121.532253,FALSE
237,豐田早餐店,9,1,25.015278,121.5321283,TRUE
238,德克士脆皮炸雞-台北台大店,10,2,25.015454,121.5323541,TRUE
239,泰悠 Thai Yo 個人鍋物（公館店）,7,1,25.0154545,121.5319226,TRUE
240,Mr. 拉麵公館店,5,5,25.0155988,121.5320582,TRUE
241,沙嗲士多,1,5,25.0156337,121.5320502,TRUE
242,麵匡匡拉麵食堂 台北公館店,5,5,25.0156683,121.5319433,TRUE
243,辛殿麻辣鍋｜公館店,1,8,25.0156058,121.531725,TRUE
244,赤神日式豬排公館店,5,10,25.0157941,121.5318107,TRUE
245,Second Floor 貳樓公館店,8,2,25.0157152,121.5315785,TRUE
246,母女的店,7,1,25.01589,121.531974,TRUE
247,五九麵館（公館店）,1,2,25.0158905,121.5319308,TRUE
248,銀座河粉蛋麵 SlNCE 1976(公館台大),7,6,25.0159719,121.5320656,TRUE
249,池記燒臘｜公館店,1,4,25.015992,121.532301,TRUE
250,巷子口麵攤,1,2,25.0160643,121.5322963,TRUE
251,醉紅小酌,1,5,25.0159309,121.532329,TRUE
252,大福利排骨大王 公館店,1,10,25.0159912,121.5323101,TRUE
253,JJ‘s POKE & CAFE 3号店,4,2,25.015906,121.531735,TRUE
254,池先生 kopitiam premium (公館店),7,10,25.015976,121.5317859,TRUE
255,潮味決‧湯滷專門店 台北公館分社,1,13,25.0160795,121.5319053,TRUE
256,台南意麵 羊肉乾麵,1,2,25.0163096,121.5323399,TRUE
257,如來素食樂園,6,3,25.0162873,121.5319117,TRUE
258,花漾薇漫餐廳,2,2,25.016115,121.531526,TRUE
259,巴生仔大馬料理店,7,10,25.0160743,121.5316525,TRUE
260,小螺波 公館店 - 台灣螺螄粉第一品牌,1,12,25.0161115,121.5317046,TRUE
261,桃源街石記麵館,1,9,25.0160403,121.5316126,TRUE
262,bb.q CHICKEN公館店,10,2,25.0158698,121.5314269,TRUE
263,首爾之家,11,3,25.0159805,121.5313803,TRUE
264,咪莉奶奶手工餅乾,3,6,25.0160674,121.5313581,FALSE
265,海山雞肉飯,1,14,25.015895,121.5313092,TRUE
